topic,category,year,count,total_papers,share
Spatial / Temporal,Specialized Data,2017,14,200,0.07
Streaming,Data Processing,2017,12,200,0.06
Transactions,Systems,2017,6,200,0.03
Vector Search,AI for Data Systems,2017,1,200,0.005
Cloud DB,Systems,2018,6,226,0.02654867256637168
Crowdsourcing,Applications,2018,5,226,0.022123893805309734
Data Analytics,Applications,2018,51,226,0.22566371681415928
Data Integration,Data Processing,2018,5,226,0.022123893805309734
Distributed DB,Systems,2018,20,226,0.08849557522123894
Graph Data,Data Models,2018,23,226,0.10176991150442478
Indexing,Storage & Access,2018,13,226,0.05752212389380531
Information Retrieval,Applications,2018,15,226,0.06637168141592921
ML for DB,AI for Data Systems,2018,22,226,0.09734513274336283
Privacy / Security,Trust,2018,5,226,0.022123893805309734
Query Optimization,Query Processing,2018,17,226,0.0752212389380531
RDF / Semantic Web,Data Models,2018,7,226,0.030973451327433628
Spatial / Temporal,Specialized Data,2018,19,226,0.084070796460177
Streaming,Data Processing,2018,10,226,0.04424778761061947
Transactions,Systems,2018,4,226,0.017699115044247787
Vector Search,AI for Data Systems,2018,3,226,0.01327433628318584
XML,Data Models,2018,1,226,0.004424778761061947
Cloud DB,Systems,2019,7,224,0.03125
Crowdsourcing,Applications,2019,5,224,0.022321428571428572
Data Analytics,Applications,2019,38,224,0.16964285714285715
Data Integration,Data Processing,2019,11,224,0.049107142857142856
Distributed DB,Systems,2019,18,224,0.08035714285714286
Graph Data,Data Models,2019,33,224,0.14732142857142858
Indexing,Storage & Access,2019,13,224,0.05803571428571429
Information Retrieval,Applications,2019,14,224,0.0625
ML for DB,AI for Data Systems,2019,27,224,0.12053571428571429
Privacy / Security,Trust,2019,6,224,0.026785714285714284
Query Optimization,Query Processing,2019,23,224,0.10267857142857142
RDF / Semantic Web,Data Models,2019,6,224,0.026785714285714284
Spatial / Temporal,Specialized Data,2019,4,224,0.017857142857142856
Streaming,Data Processing,2019,8,224,0.03571428571428571
Text-to-SQL / NLIDB,AI for Data Systems,2019,1,224,0.004464285714285714
Transactions,Systems,2019,7,224,0.03125
Vector Search,AI for Data Systems,2019,3,224,0.013392857142857142
Cloud DB,Systems,2020,7,321,0.021806853582554516
Crowdsourcing,Applications,2020,1,321,0.003115264797507788
Data Analytics,Applications,2020,55,321,0.17133956386292834
Data Integration,Data Processing,2020,15,321,0.04672897196261682
Distributed DB,Systems,2020,25,321,0.0778816199376947
Graph Data,Data Models,2020,41,321,0.1277258566978193
Indexing,Storage & Access,2020,23,321,0.07165109034267912
Information Retrieval,Applications,2020,21,321,0.06542056074766354
ML for DB,AI for Data Systems,2020,46,321,0.14330218068535824
Privacy / Security,Trust,2020,9,321,0.028037383177570093
Query Optimization,Query Processing,2020,38,321,0.11838006230529595
RDF / Semantic Web,Data Models,2020,3,321,0.009345794392523364
Spatial / Temporal,Specialized Data,2020,12,321,0.037383177570093455
Streaming,Data Processing,2020,14,321,0.04361370716510903
Text-to-SQL / NLIDB,AI for Data Systems,2020,1,321,0.003115264797507788
Transactions,Systems,2020,5,321,0.01557632398753894
Vector Search,AI for Data Systems,2020,5,321,0.01557632398753894
Cloud DB,Systems,2021,7,302,0.023178807947019868
Crowdsourcing,Applications,2021,1,302,0.0033112582781456954
Data Analytics,Applications,2021,39,302,0.1291390728476821
Data Integration,Data Processing,2021,9,302,0.029801324503311258
Distributed DB,Systems,2021,26,302,0.08609271523178808
Graph Data,Data Models,2021,39,302,0.1291390728476821
Indexing,Storage & Access,2021,21,302,0.0695364238410596
Information Retrieval,Applications,2021,20,302,0.06622516556291391
ML for DB,AI for Data Systems,2021,63,302,0.20860927152317882
Privacy / Security,Trust,2021,5,302,0.016556291390728478
Query Optimization,Query Processing,2021,28,302,0.09271523178807947
RDF / Semantic Web,Data Models,2021,7,302,0.023178807947019868
Spatial / Temporal,Specialized Data,2021,12,302,0.039735099337748346
Streaming,Data Processing,2021,14,302,0.046357615894039736
Text-to-SQL / NLIDB,AI for Data Systems,2021,2,302,0.006622516556291391
Transactions,Systems,2021,7,302,0.023178807947019868
Vector Search,AI for Data Systems,2021,2,302,0.006622516556291391
Cloud DB,Systems,2022,10,267,0.03745318352059925
Crowdsourcing,Applications,2022,2,267,0.00749063670411985
Data Analytics,Applications,2022,43,267,0.16104868913857678
Data Integration,Data Processing,2022,4,267,0.0149812734082397
Distributed DB,Systems,2022,11,267,0.04119850187265917
Graph Data,Data Models,2022,40,267,0.149812734082397
Indexing,Storage & Access,2022,20,267,0.0749063670411985
Information Retrieval,Applications,2022,16,267,0.0599250936329588
ML for DB,AI for Data Systems,2022,47,267,0.1760299625468165
Privacy / Security,Trust,2022,8,267,0.0299625468164794
Query Optimization,Query Processing,2022,31,267,0.11610486891385768
RDF / Semantic Web,Data Models,2022,1,267,0.003745318352059925
Spatial / Temporal,Specialized Data,2022,14,267,0.052434456928838954
Streaming,Data Processing,2022,7,267,0.026217228464419477
Transactions,Systems,2022,10,267,0.03745318352059925
Vector Search,AI for Data Systems,2022,3,267,0.011235955056179775
Cloud DB,Systems,2023,10,485,0.020618556701030927
Data Analytics,Applications,2023,58,485,0.11958762886597939
Data Integration,Data Processing,2023,8,485,0.016494845360824743
Distributed DB,Systems,2023,31,485,0.06391752577319587
Graph Data,Data Models,2023,74,485,0.15257731958762888
Indexing,Storage & Access,2023,34,485,0.07010309278350516
Information Retrieval,Applications,2023,32,485,0.06597938144329897
ML for DB,AI for Data Systems,2023,93,485,0.19175257731958764
Privacy / Security,Trust,2023,8,485,0.016494845360824743
Query Optimization,Query Processing,2023,60,485,0.12371134020618557
RDF / Semantic Web,Data Models,2023,8,485,0.016494845360824743
Spatial / Temporal,Specialized Data,2023,40,485,0.08247422680412371
Streaming,Data Processing,2023,18,485,0.03711340206185567
Text-to-SQL / NLIDB,AI for Data Systems,2023,1,485,0.002061855670103093
Transactions,Systems,2023,4,485,0.008247422680412371
Vector Search,AI for Data Systems,2023,6,485,0.012371134020618556
Cloud DB,Systems,2024,17,521,0.03262955854126679
Crowdsourcing,Applications,2024,2,521,0.003838771593090211
Data Analytics,Applications,2024,70,521,0.1343570057581574
Data Integration,Data Processing,2024,14,521,0.026871401151631478
Distributed DB,Systems,2024,32,521,0.061420345489443376
Graph Data,Data Models,2024,84,521,0.16122840690978887
Indexing,Storage & Access,2024,36,521,0.0690978886756238
Information Retrieval,Applications,2024,30,521,0.05758157389635317
ML for DB,AI for Data Systems,2024,95,521,0.18234165067178504
Privacy / Security,Trust,2024,10,521,0.019193857965451054
Query Optimization,Query Processing,2024,56,521,0.10748560460652591
RDF / Semantic Web,Data Models,2024,8,521,0.015355086372360844
Spatial / Temporal,Specialized Data,2024,35,521,0.0671785028790787
Streaming,Data Processing,2024,14,521,0.026871401151631478
Text-to-SQL / NLIDB,AI for Data Systems,2024,2,521,0.003838771593090211
Transactions,Systems,2024,9,521,0.01727447216890595
Vector Search,AI for Data Systems,2024,7,521,0.013435700575815739
